Fila,Columna,Texto,PosX,PosY
1,1,Serie,297.0,113.0
1,2,:,320.5,113.0
1,3,Documentos,376.5,113.0
1,4,Técnicos,467.5,113.0
2,1,TABLA,558.5,221.0
2,2,BOLIVIANA,671.5,220.5
2,3,DE,760.5,219.5
2,4,COMPOSICIÓN,868.5,219.5
2,5,DE,975.5,218.5
2,6,ALIMENTOS,1068.0,218.0
3,1,COMPOSICIÓN,654.5,264.0
3,2,POR,733.5,264.0
3,3,100,769.0,264.0
3,4,GRAMOS,820.5,264.0
3,5,DE,869.5,264.0
3,6,PORCIÓN,920.0,264.0
3,7,COMESTIBLE,1009.5,264.0
3,8,RIBOFLAV,1308.5,283.0
3,9,NIACINA,1367.5,282.0
3,10,VIT,1423.5,281.0
3,11,C,1441.5,280.5
4,1,CODIGO,216.5,287.0
4,2,NOMBRE,351.5,288.0
4,3,ALIMENTO,411.5,288.0
4,4,Keal,559.5,303.5
4,5,ENERGIA,561.5,289.5
4,6,HUMEDAD,623.0,289.5
4,7,PROTENA,687.5,289.5
4,8,GRASA,747.5,289.5
4,9,CHO,795.0,289.5
4,10,TOTAL,825.5,289.5
4,11,FCRUDA,874.0,289.5
4,12,CENIZA,934.0,289.5
4,13,Ga,995.5,288.0
4,14,P.,1058.5,288.0
4,15,mg,1118.0,301.5
4,16,Fe,1120.0,286.5
4,17,VIT,1174.5,284.5
4,18,ро,1181.0,302.0
4,19,.,1184.0,284.5
4,20,A,1192.0,284.5
4,21,mg,1242.0,300.5
4,22,TIAMINA,1242.5,284.0
4,23,mg,1308.5,299.5
4,24,mg,1368.0,298.0
4,25,mg,1431.5,298.0
5,1,"""",623.0,306.5
5,2,9,746.5,307.0
5,3,g,873.0,305.5
5,4,9,932.0,305.5
5,5,mg,995.0,304.0
5,6,mg,1057.0,304.0
6,1,C80,217.5,335.5
6,2,Toronja,282.5,336.5
6,3,blanca,336.5,336.5
6,4,sin,375.0,336.5
6,5,membrana,428.0,336.5
6,6,44,558.5,337.0
6,7,88.90,623.0,337.5
6,8,0.56,686.5,338.0
6,9,0.20,745.5,337.0
6,10,10.03,811.0,337.0
6,11,021,870.5,336.0
6,12,0.31,931.0,337.5
6,13,14.0,995.0,336.0
6,14,20.0,1055.5,335.0
6,15,0.22,1117.0,334.0
6,16,0.0,1178.5,333.5
6,17,0.04,1240.5,332.5
6,18,0.06,1306.5,331.5
6,19,0.60,1366.5,330.5
6,20,36.50,1430.0,330.0
7,1,Gaffumbo,253.5,361.5
7,2,388320,588.0,360.0
7,3,000,685.5,360.0
7,4,053,745.0,359.0
7,5,1408,811.0,359.0
7,6,840081,900.5,359.0
7,7,120,994.5,358.5
7,8,352,1056.0,358.0
7,9,070972,1149.0,358.0
7,10,003,1240.0,358.0
7,11,004,1306.5,357.0
7,12,051,1364.0,357.0
7,13,5520,1427.5,357.0
8,1,C82,218.0,385.5
8,2,Tuna,274.0,386.5
8,3,var,308.5,386.5
8,4,.,321.0,386.5
8,5,Amarilla,355.0,386.5
8,6,70,559.0,388.0
8,7,82.45,622.0,388.5
8,8,1.06,686.5,388.5
8,9,0.16,745.5,388.0
8,10,16.03,810.5,387.5
8,11,6.32,871.0,386.5
8,12,0,920.5,387.0
8,13,30,937.5,387.0
8,14,34.0,992.5,385.5
8,15,200,1054.5,385.5
8,16,0.50,1116.0,384.0
8,17,5.0,1177.5,384.5
8,18,0.03,1239.0,383.0
8,19,0.02,1305.0,381.5
8,20,0.30,1364.5,381.5
8,21,17.00,1427.5,381.0
9,1,Chunavin,259.5,412.5
9,2,B668365114,513.5,411.0
9,3,0:25,746.0,410.5
9,4,1469,810.5,409.5
9,5,230027,901.0,409.5
9,6,253,993.0,408.5
9,7,214031,1085.0,408.0
9,8,44,1178.5,407.5
9,9,002,1238.5,407.5
9,10,003,1305.0,407.5
9,11,051,1364.5,406.5
9,12,18:40,1427.0,406.5
9,13,×,1455.5,406.5
10,1,C84,217.5,437.5
10,2,Uva,270.0,437.0
10,3,var,301.0,437.0
10,4,Blanca,344.0,437.0
10,5,*,371.0,437.0
10,6,70,560.0,438.0
10,7,82.61,621.5,438.5
10,8,"0,69",685.0,438.5
10,9,0.47,745.5,438.0
10,10,15.84,809.5,437.5
10,11,0.32,871.0,437.5
10,12,0.39,930.0,437.0
10,13,24.2,993.0,436.5
10,14,35.6,1054.0,436.0
10,15,0.94,1115.5,435.5
10,16,Tr,1175.0,435.0
10,17,.,1183.0,434.5
10,18,0.03,1238.5,433.5
10,19,0.04,1305.0,433.0
10,20,0.58,1364.0,432.25
10,21,15.30,1426.5,432.5
11,1,06,211.5,465.0
11,2,Rosada,346.5,464.5
11,3,3076,651.0,463.0
11,4,04716450473,813.5,462.0
11,5,0.58,930.0,461.5
11,6,180,994.5,461.5
11,7,160,1054.5,461.5
11,8,980,1114.0,460.5
11,9,TO,1175.0,460.5
