id_alimento;nombre_alimento;grupo_alimenticio;energia_kcal;humedad_g;proteinas_g;grasas_g;hidratoscarbonototal_g;fibracruda_g;ceniza_g;calcio_mg;fosforo_mg;hierro_mg;vita_mcg;tiamina_mg;riboflavina_mg;niacina_mg;vitc_mg;estado_validacion
A1;Arroz grano largo;CEREALES Y DERIVADOS;356;10.70;6.00;0.46;82.06;0.65;0.78;10.20;110.70;1.42;;0.05;0.07;2.10;;Pendiente
A2;Arroz var. Carolina;CEREALES Y DERIVADOS;347;13.10;7.21;0.42;78.55;0.60;0.72;10.00;117.00;1.56;;0.05;0.03;2.06;;Pendiente
A3;Arroz var. Perla;CEREALES Y DERIVADOS;352;11.23;7.82;0.24;79.73;0.72;0.98;11.70;105.00;1.56;;0.06;0.03;2.06;;Pendiente
A4;Arroz Corriente;CEREALES Y DERIVADOS;353;11.55;6.00;0.46;81.21;0.65;0.78;11.50;113.00;1.45;;0.08;0.07;2.10;;Pendiente
A5;Arroz Integral;CEREALES Y DERIVADOS;355;10.95;8.20;0.48;79.55;0.79;0.82;14.30;238.20;2.65;;0.23;0.08;4.20;;Pendiente
A6;Arroz pre cocido;CEREALES Y DERIVADOS;352;12.04;6.95;0.60;79.73;0.64;0.69;15.80;118.20;2.06;;0.41;1.02;3.02;;Pendiente
A7;Amaranto;CEREALES Y DERIVADOS;382;11.20;13.20;7.00;66.50;6.60;2.10;249.30;459.00;6.60;;0.31;0.02;0.40;;Pendiente
A8;Amaranto Tostado;CEREALES Y DERIVADOS;389;9.13;12.97;6.74;69.01;4.66;2.15;250.30;468.50;6.80;;0.01;0.01;1.22;;Pendiente
A9;Avena Comercial;CEREALES Y DERIVADOS;376;9.87;13.86;4.68;69.67;1.54;1.92;52.70;408.00;4.30;;0.64;0.46;1.25;;Pendiente
A10;Avena con Cascara;CEREALES Y DERIVADOS;363;10.80;11.60;4.80;68.40;16.34;4.40;58.40;353.00;5.30;;0.69;0.48;1.92;;Pendiente
A11;Avena laminada;CEREALES Y DERIVADOS;365;9.55;13.00;4.50;68.21;1.30;4.41;54.20;397.00;4.35;;0.54;0.35;1.00;;Pendiente
A12;Cañahua gris;CEREALES Y DERIVADOS;358;10.91;14.22;4.30;65.57;9.00;5.00;122.00;372.00;13.00;;0.45;0.06;1.01;;Pendiente
A13;Cañahua parda;CEREALES Y DERIVADOS;352;11.79;14.06;3.88;65.15;6.90;5.20;128.20;351.00;12.80;;0.54;0.25;1.00;;Pendiente
A14;Cebada grano entero;CEREALES Y DERIVADOS;357;9.51;11.80;1.12;74.99;6.58;2.58;54.00;323.00;5.80;3.52;0.25;0.18;6.25;;Pendiente
A15;Cebada laminada;CEREALES Y DERIVADOS;359;10.50;9.90;1.08;77.34;0.80;1.18;91.00;283.50;4.50;;0.04;0.03;3.20;;Pendiente
A16;Maíz (Frangollo);CEREALES Y DERIVADOS;370;10.00;7.82;3.01;77.97;1.00;1.20;8.00;210.00;3.00;;;;;;Pendiente
A17;Maíz amarillo entero;CEREALES Y DERIVADOS;372;10.40;9.33;3.90;74.77;2.47;1.60;7.00;212.00;2.51;70.56;0.24;0.25;2.68;;Pendiente
A18;Maíz blanco var. Palta Waltacu;CEREALES Y DERIVADOS;367;11.26;7.44;3.56;76.26;2.78;1.48;8.00;268.00;1.70;1.22;0.16;0.14;2.00;;Pendiente
A19;Maíz blanco var. Chuncula;CEREALES Y DERIVADOS;379;9.36;8.32;4.61;76.03;2.81;1.68;8.10;306.00;2.10;1.23;0.17;0.14;2.75;;Pendiente
A20;Maíz blanco var. Chuspillo tostado;CEREALES Y DERIVADOS;375;10.14;9.91;4.23;74.24;3.06;1.48;12.00;249.00;2.80;1.01;0.25;0.15;2.81;;Pendiente
A21;Maíz blanco var. Uchuquilla;CEREALES Y DERIVADOS;373;10.80;6.59;5.26;75.11;2.17;1.24;9.00;226.00;2.20;1.02;0.14;0.15;3.31;;Pendiente
A22;Maíz blanco var. Chuspillo tostado;CEREALES Y DERIVADOS;386;8.02;8.61;4.97;76.73;4.11;1.66;10.00;264.00;3.30;1.01;0.18;1.17;2.22;;Pendiente
A23;Maíz blanco trillado;CEREALES Y DERIVADOS;367;12.20;8.40;4.10;74.10;2.40;1.20;7.20;171.00;2.70;0.00;0.20;0.18;1.60;;Pendiente
A24;Maíz blanco pelado;CEREALES Y DERIVADOS;372;10.37;6.44;3.90;77.77;1.53;1.54;51.00;266.00;3.21;1.94;0.18;0.04;1.87;;Pendiente
A25;Maíz amarillo var. Tiraque;CEREALES Y DERIVADOS;371;11.12;7.76;4.22;75.42;2.44;1.48;9.00;296.00;3.10;80.25;0.15;0.16;2.50;;Pendiente
A26;Maíz amarillo var. Altiplano;CEREALES Y DERIVADOS;372;10.40;9.50;4.15;74.17;3.36;1.78;13.00;322.00;3.50;70.26;0.18;0.12;2.56;;Pendiente
A27;Maíz amarillo var. Cubano;CEREALES Y DERIVADOS;371;10.45;9.33;3.90;74.72;2.47;1.60;7.00;164.00;3.56;70.65;0.24;0.25;2.68;;Pendiente
A28;Maíz morado;CEREALES Y DERIVADOS;356;11.40;7.30;3.40;76.20;2.23;1.72;12.20;322.00;2.20;2.23;0.38;0.22;2.81;;Pendiente
A29;Maíz Jankaquipa;CEREALES Y DERIVADOS;374;10.91;9.04;4.82;73.65;2.64;1.58;11.00;288.00;2.60;2.10;0.17;0.19;2.94;;Pendiente
A30;Maíz Wilcaparu;CEREALES Y DERIVADOS;370;11.10;9.07;4.26;73.81;2.46;1.76;19.00;253.00;4.90;1.22;0.20;0.14;2.81;;Pendiente
A31;Maíz Wilcaparu frangollo;CEREALES Y DERIVADOS;366;11.60;8.82;3.83;73.97;2.94;1.72;21.00;202.00;3.20;1.23;0.24;0.17;2.12;;Pendiente
A32;Quinua var. Coitu;CEREALES Y DERIVADOS;375;10.20;13.45;5.42;68.12;3.12;2.81;102.20;250.00;3.10;;0.25;0.23;1.25;;Pendiente
A33;Quinua var. Pasancalla;CEREALES Y DERIVADOS;381;9.74;10.62;6.32;70.33;3.58;2.99;117.20;347.00;4.20;;0.22;0.22;1.20;;Pendiente
A34;Quinua var. Real;CEREALES Y DERIVADOS;374;11.20;12.46;6.32;66.91;4.90;3.11;119.30;275.20;5.70;;0.37;0.45;1.06;;Pendiente
A35;Quinua dulce;CEREALES Y DERIVADOS;368;11.70;11.68;5.23;68.46;3.94;2.93;115.00;247.20;5.40;;0.26;0.25;1.06;;Pendiente
A36;Quinua var. Surumi;CEREALES Y DERIVADOS;370;11.00;10.83;5.00;70.37;3.40;2.80;110.00;238.90;5.00;;;;;;Pendiente
A37;Quinua var. Qaslala;CEREALES Y DERIVADOS;378;9.23;10.38;5.26;72.29;2.77;2.84;116.20;245.20;6.70;;0.26;0.28;;;Pendiente
A38;Trigo var. Mocho;CEREALES Y DERIVADOS;357;10.84;8.82;1.42;77.26;3.32;1.66;56.00;224.00;4.60;;0.27;0.14;3.87;;Pendiente
